Number,Name,RA (1900),Dec (1900),RA (2000),Dec (2000),DM,B,Spectral Type,AO Rel. Parallax,AO Error; Weighted Error,No. of Plates,Yale ADS Parallax,Yale Error,Yale Catalog No.,No. of Observations
1233,16 Coma,12 22 0.00,+27 23 0.00,12 26 59.2,+26 49 32,+27˚2134.0,5,A2,16,4;16,28,22,7.2,2869.0--,
1234,49 Virg,13 2. 42.00,-10 12 0.00,13 07 53.8,-10 44 25,-9˚3628.0,5.3,K,13,8;30,27,23,10.1,2996.0--,
1235,Lal 25538,13 47 24.00,+34 56 0.00,13 51 47.4,+34 26 39,+35˚2496.0,5,Ma,22,5;18,30,25,8.4,3165.0--,
1236,10 Drac,13 48 30.00,+65 13 0.00,13 51 25.9,+64 43 23,+65˚963.0,4.8,Ma,18,6;24,31,8,7.2,3169.0--,
1237,Pi 1 Boot,14 36 0.00,+16 51 0.00,14 40 43.7,+16 25 05,,4.9,,-14,5;20,30,,6.4,3316.0A,
1238,Pi 2 Boot,14 36 0.00,+16 51 0.00,14 40 43.7,+16 25 05,,5.8,,8,6;23,30,,6.4,3316.0A,
,Sigma 1864 mean,,,,,+17˚2768.0,,A0,-3,4,30,,,0.00,
1239,10    Serp,15 23 36.00,+2 11 0.00,15 28 38.2,+01 50 31,+2˚2965.0,5.1,A5,25,5;18,30,29,7.0,3494.0--,
1240,16    Serp,15 31 42.00,+10 21 0.00,15 36 29.5,+10 00 36,+10˚2884.0,5.4,K0,26,6;22,30,29,9.8,3527.0--,
1241,Pi 15h198,15 45 6.00,+62 55 0.00,15 46 39.9,+62 35 57,+63˚1225.0,5.1,A2,10,4;18,30,15,7.2,3583.0--,
1242,Lal 30540,16 39 48.00,+50 8 0.00,16 42 27.8,+49 56 11,+50˚2319.0,6.6,F5,32,5;19,,34,8.4,3804.0--,
1244,Lal 34931,18 42 0.00,+26 33 0.00,18 46 04.5,+26 39 43,+26˚3349.0,4.9,K0,18,5;19,28,22,7.3,4333.0--,
1245,Lal 35511,18 55 42.00,+26 6 0.00,18 59 45.4,+26 13 48,+26˚3418.0,5.3,K0,-5,8;31,30,-2,12.5,4409.0--,
1246,16 Lyra,18 58 36.00,+46 48 0.00,19 01 26.4,+46 56 05,+46˚2602.0,5.1,A5,28,4;19,28,32,7.2,4425.0--,
1247,Lal 35836,19 2. 42.00,+28 28 0.00,,,+28˚3193.0,5.5,A5,20,3;12,28,,,0.00,
1248,20 Cygn,19 48 6.00,+52 44 0.00,19 50 37.7,+52 59 16,+52˚2547.0,5.2,K2,9,5;20,28,12,8.4,4684.0--,
1249,Phi Aqil,19 51 30.00,+11 9 0.00,19 56 14.2,+11 25 25,+11˚4055.0,5.3,A2,16,5;20,29,20,8.4,4711.0--,
1250,Lal 38100,19 54 24.00,-10 13 0.00,19 59 47.3,-09 57 30,-10˚5238.0,5.9,F8,34,8;30,30,39,7.9,4733.0--,
1251,26 Cygn,19 58 30.00,+49 50 0.00,20 01 21.6,+50 06 16,+49˚3158.0,5.3,K0,11,6;23,29,13,9.8,4752.0--,
1252,Eta Sgte,20 0. 42.00,+19 42 0.00,,,+19˚4277.0,5.3,K0,28,5;21,29,,,0.00,
1254,4 Aqar,20 46 6.00,-6 0 0.00,20 51 25.8,-05 37 36,-6˚5604.0,6,F2,21,7;24,30,27,8.5,4983.0M,
1255,Lal 40484,20 51 42.00,+1 20 0.00,20 56 47.4,+01 42 55,+1˚4397.0,7.1,K0,5,6;23,33,7,9.8,5017.0--,
1256,3 Equl,20 59 36.00,+5 6 0.00,21 04 34.6,+05 30 10,+4˚4606.0,5.9,K2,6,7;27,30,9,11.1,5066.0--,
1257,Nu Aqar,21 4. 6.00,-11 47 0.00,,,-11˚5538.0,4.5,K0,8,5;17,30,,,0.00,
1258,78 Drac,21 41 54.00,+71 52 0.00,21 43 04.0,+72 19 12,+71˚1082.0,5.4,K0,11,6;21,26,14,8.1,5259.0--,
1259,Theta Pegs,22 5. 12.00,+5 42 0.00,22 10 11.9,+06 11 51,+5˚4961.0,3.7,A2,46,6;22,31,47,7.7,5362.0--,
1260,30 Ceph,22 35 6.00,+63 4 0.00,22 38 39.0,+63 35 04,+62˚2102.0,5.2,A2,3,6;22,31,7,9.8,5485.0--,
1261,11 Lacr,22 36 6.00,+43 45 0.00,22 40 30.8,+44 16 35,+43˚4266.0,4.6,K0,5,6;21,28,8,9.8,5491.0--,
1262,82 Pegs,23 47 30.00,+10 23 0.00,23 52 37.0,+10 56 50,+10˚5004.0,5.4,A3,12,6;24,30,16,9.8,5774.0--,
1263,Lal 46867,23 49 54.00,+28 5 0.00,23 55 04.0,+28 38 01,+27˚4642.0,7.3,K0,36,5;20,30,33,7.3,5777.0--,
1264,Lal 34,00 6. 12.00,+29 54 0.00,,,+29˚14.0,8.7,G5,28,5;20,30,,,0.00,
1265,Lal 2999,01 32 36.00,-9 55 0.00,01 37 37.6,-09 24 13,-10˚343.0,6.4,F5,22,6;24,31,25,9.8,337.0--,
1266,Sigma 226 A,02 6. 36.00,+23 30 0.00,,,+23˚296.0,7.8,G5,31,6;24,28,,,0.00,
1267,Lal 6310,03 22 24.00,+55 6 0.00,03 30 00.1,+55 27 07,+54˚684.0,5,A2,15,3;13,28,22,5.7,722.0A,
1268,Pi Erid,03 41 24.00,-12 25 0.00,03 46 08.4,-12 06 06,-12˚707.0,4.6,Ma,-4,4;19,29,-1,6.6,820.0--,
1269,9 Caml,04 44 6.00,+66 10 0.00,04 54 03.0,+66 20 33,+66˚358.0,4.4,B0,-15,5;23,30,-1,6.0,1075.0--,
1270,4 Orio,04 46 54.00,+14 5 0.00,04 52 31.9,+14 15 01,+14˚777.0,5.2,Ma,2,4;18,28,4,7.2,1090.0--,
1271,27 Orio,05 19 24.00,+0 59 0.00,05 24 28.9,-00 53 28,-1˚886.0,5.2,G5,14,5;23,27,18,7.2,1227.0--,
1272,5 Lync,06 18 6.00,+58 28 0.00,06 26 48.8,+58 25 02,+58˚927.0,5.5,K2,2,3;16,29,5,6.0,1480.0--,
1273,Gamma C Min,07 22 42.00,+9 8 0.00,07 28 09.7,+08 55 31,+9˚1660.0,4.6,K0,15,4;18,27,17,5.8,1762.0--,
1274,25 Mono,07 32 18.00,-3 53 0.00,07 37 16.7,-04 06 39,-3˚1979.0,5.2,F5,25,4;17,30,27,6.6,1798.0--,
1275,Zeta Canc AB,08 6. 30.00,+17 57 0.00,,,,5,F8,37,3;18,38,,,0.00,
1276,Zeta Canc C,08 6. 30.00,+17 57 0.00,,,,6.3,G0,30,5;24,40,,,0.00,
,Mean,,,,,+18˚1867.0,,,35,3,,,,0.00,
1277,Rho Hyda,08 43 6.00,+6 12 0.00,08 48 25.9,+05 50 15,+6˚2040.0,4.4,A0,4,4;16,30,12,6.1,2105.0--,
1278,Iota U Maj,08 52 24.00,+48 26 0.00,08 59 12.4,+48 02 30,+48˚1707.0,3.1,A5,63,5;22,35,71,8.0,2143.0A,
1279,Pi Leon,09 54 54.00,+8 31 0.00,10 00 12.8,+08 02 38,+8˚2301.0,4.9,Ma,11,5;21,27,17,7.6,2364.0--,
1280,41 L Min,10 38 0.00,+23 43 0.00,10 43 24.9,+23 11 18,+23˚2253.0,5,A2,9,6;24,29,14,9.8,2506.0--,
1281,55 Leon,10 50 36.00,+1 16 0.00,10 55 42.3,+00 44 12,+1˚2501.0,6,F2,11,5;19,30,14,8.4,2546.0--,
1282,Alpha U Maj,10 57 36.00,+62 17 0.00,11 03 43.6,+61 45 03,+62˚1161.0,2,K0,33,7;30,30,28,2.9,2575.0--,
1283,Grb 1812,11 33 30.00,+45 40 0.00,11 38 44.8,+45 06 30,+45˚1947.0,6.3,G0,51,6;22,29,50,8.7,2695.0A,
1284,4 Virg,11 42 48.00,+8 48 0.00,11 47 54.8,+08 14 45,+9˚2549.0,5.2,A0,8,7;27,28,15,8.9,2732.0--,
1285,4H Drac,12 7. 30.00,+78 10 0.00,,,+78˚412.0,5.1,A5,30,5;19,29,,,0.00,
1286,17 Coma,12 23 54.00,+26 28 0.00,12 28 54.6,+25 54 46,+26˚2354.0,5.4,A0p,14,5;19,31,19,8.4,2876.0--,
1287,33 Virg,12 41 18.00,+10 6 0.00,12 46 22.5,+09 32 23,+10˚2468.0,5.9,K0,31,7;23,29,20,7.5,2940.0--,
1288,35 Coma,12 48 24.00,+21 47 0.00,12 53 17.7,+21 14 41,+22˚2519.0,5.1,K0,17,5;20,30,19,6.6,2961.0M,
1289,Sigma Virg,13 12 36.00,+6 0 0.00,13 17 36.2,+05 28 11,+6˚2722.0,5,Ma,3,6;21,29,11,8.5,3036.0--,
1290,Lal 24774,13 16 6.00,+43 38 0.00,,,+43˚2321.0,8.2,K0,33,5;19,30,,,0.00,
1291,74 Virg,13 26 48.00,-5 44 0.00,13 31 57.8,-06 15 21,-5˚3714.0,4.8,Ma,6,6;22,29,20,8.0,3088.0--,
1292,2H U Min,14 56 0.00,+66 20 0.00,14 57 34.9,+65 55 56,+66˚878.0,4.9,Mb,5,4;14,28,10,6.7,3388.0--,
1293,11 U Min,15 17 12.00,+72 11 0.00,15 17 05.8,+71 49 25,+72˚678.0,5.1,K0,9,6;22,32,16,8.3,3472.0--,
1294,18 Drac,16 40 12.00,+64 47 0.00,16 40 55.0,+64 35 20,+64˚1145.0,5,K0,2,5;20,31,8,7.3,3807.0--,
1295,27H Ophi,17 21 18.00,-5 0 0.00,17 26 37.8,-05 05 11,-4˚4275.0,4.6,F0,24,5;20,28,30,7.5,3959.0--,
1296,Grb 2517,18 4. 30.00,+43 27 0.00,,,+43˚2892.0,5.1,G5,7,6;23,28,,,0.00,
1297,107 Herc,18 17 6.00,+28 49 0.00,18 21 01.0,+28 52 12,+28˚2981.0,5,A5,15,6;24,28,18,9.8,4220.0--,
1298,Pi 185,19 31 18.00,-10 39 0.00,19 36 45.6,-10 26 35,-10˚5130.0,8.5,K0,44,6;22,32,51,7.2,4595.0A,
1299,Nu Aqil,19 40 48.00,+7 22 0.00,19 45 39.9,+07 36 47,+7˚4210.0,5.7,A2,20,5;22,29,25,7.0,4643.0--,
1300,Lal 27626,19 42 30.00,+0 51 0.00,19 47 33.3,+01 05 19,+0˚4314.0,6.8,G5,25,4;15,29,27,7.2,4653.0A,
1301,PGC 5072,19 47 48.00,+24 44 0.00,19 52 01.5,+24 59 31,+24˚3914.0,5.7,F5,3,4;17,30,5,7.2,4682.0--,
1302,5 Capr,20 12 6.00,-12 49 0.00,20 17 38.8,-12 30 29,-12˚5683.0,4.6,G0p,3,5;18,29,3,5.9,4822.0--,
1303,32 Cygn,20 12 24.00,+47 24 0.00,20 15 28.3,+47 42 50,+47˚3059.0,4.2,K0,9,4;15,33,10,6.5,4826.0--,
1304,6 Capr,20 12 30.00,-12 51 0.00,20 18 03.2,-12 32 41,-12˚5685.0,3.8,G5,26,5;21,33,36,6.0,4829.0--,
1305,Sigma 2741 A,20 55 18.00,+50 4 0.00,20 58 30.0,+50 27 43,+49˚3426.0,5.8,B8,3,4;17,35,6,7.2,5037.0--,
1306,15 Aqar,21 12 54.00,-4 57 0.00,21 18 11.1,-04 31 09,-5˚5512.0,5.7,B8,3,5;18,28,6,8.4,5125.0--,
1308,Beta Aqar,21 26 18.00,-6 1 0.00,21 31 33.5,-05 34 16,-6˚5770.0,3.1,G0,-8,4;16,29,4,6.0,5188.0--,
1309,Br 2942,22 11 6.00,+72 49 0.00,22 12 52.6,+73 18 25,+72˚1022.0,6.1,G5,11,6;20,28,14,9.8,5391.0--,
1310,Br 3011pre,22 42 42.00,-4 45 0.00,22 47 50.1,-04 13 43,,7.8,,34,8;29,28,27,6.4,5523.0M,
1311,Br 3011fol,22 42 42.00,-4 45 0.00,22 47 50.1,-04 13 43,,7.3,,25,8;28,28,27,6.4,5523.0M,
,Mean,,,,,-4˚5757.0,,G0,29,5,,,,0.00,
1312,Alpha Pegs,22 59 48.00,+14 40 0.00,23 04 45.7,+15 12 18,+14˚4926.0,2.6,A0,25,5;22,32,34,7.0,5587.0--,
1313,19 Pisc,23 41 18.00,+2 56 0.00,23 46 23.5,+03 29 12,+2˚4709.0,5.3,Na,-2,7;25,31,-4,7.9,5755.0--,
1314,Sigma 3060 A,,,,,,8.5,K0,3,7;24,27,,,0.00,
1315,Sigma 3060 B,,,,,,8.7,K0,1,7;23,28,,,0.00,
,Mean,00 0. 48.00,+17 31 0.00,,,+17˚5036.0,,,2,5,,,,0.00,
1316,Sigma 3062,00 1. 0.00,+57 53 0.00,,,+57˚2865.0,6.1,G5,60,6;24,30,,,0.00,
1317,Sigma 186,01 50 42.00,+1 21 0.00,01 55 53.7,+01 50 59,+1˚347.0,6.2,G0,14,6;26,29,31,5.6,396.0M,
1318,A 2329,02 22 30.00,+3 59 0.00,02 27 45.9,+04 25 55,+3˚339.0,8.6,K5,62,6;26,33,62,4.1,500.0M,
1319,Lal 6788,03 35 42.00,-2 39 0.00,03 40 47.4,-02 19 57,-2˚690.0,7.1,G5,15,5;24,31,22,6.3,764.0--,
1321,Pi Taur,04 21 0.00,+14 29 0.00,04 26 36.5,+14 42 49,+14˚697.0,4.9,K0,10,4;17,28,13,7.2,981.0--,
1322,7 Caml,04 49 18.00,+53 36 0.00,04 57 17.1,+53 45 07,+53˚829.0,4.4,A2,-8,6;27,29,-2,9.8,1096.0--,
1323,Zeta Taur,05 31 42.00,+21 5 0.00,05 37 38.7,+21 08 32,+21˚908.0,3,B3p,-4,5;27,34,3,7.3,1286.0--,
1324,52 Orio,05 42 36.00,+6 25 0.00,05 48 00.1,+06 27 14,+6˚1027.0,5.3,A3,15,4;20,29,22,6.4,1327.0--,
1325,37 Caml,06 1. 12.00,+58 57 0.00,06 09 59.0,+58 56 08,+58˚897.0,5.4,K0,8,5;21,30,10,8.4,1407.0--,
1326,U Mono,07 26 0.00,-9 34 0.00,07 30 47.4,-09 46 36,-9˚2085.0,Var,G5,-1,5;23,32,,8.4,1777.0--,
1327,Lal 15046,07 40 0.00,+37 46 0.00,07 46 39.3,+37 31 02,+37˚1769.0,5.4,Ma,-10,5;22,31,-6,8.4,1832.0--,
1328,Lal 15976,08 8. 6.00,+57 24 0.00,,,+57˚1128.0,7.8,G5,16,5;24,31,,,0.00,
1329,30 Mono,08 20 42.00,-3 35 0.00,08 25 39.5,-03 54 23,-3˚2339.0,4,A0,18,5;23,30,22,6.8,2003.0--,
1330,Sigma 1329 B,09 10 36.00,+0 49 0.00,,,+0˚2163.0,8.7,G5,-1,7;28,29,,,0.00,
1331,Sigma 1329 A,09 10 36.00,+0 49 0.00,,,+0˚2164.0,8.7,G5,15,7;30,28,,,0.00,
1332,24 U Maj,09 25 36.00,+70 16 0.00,09 34 28.8,+69 49 49,+70˚565.0,4.6,G0,36,5;23,31,40,8.4,2261.0--,
1333,Omega Sigma 224,10 34 30.00,+9 22 0.00,10 39 42.1,+08 50 35,+9˚2382.0,7.9,F5,15,5;21,33,21,7.5,2493.0--,
1334,Omega U Maj,10 48 12.00,+43 43 0.00,10 53 58.7,+43 11 23,+43˚2058.0,4.8,A0,6,6;24,27,12,9.8,2533.0--,
1335,Iota Leon,11 18 42.00,+11 5 0.00,11 23 55.5,+10 31 45,+11˚2348.0,4,F5,43,6;24,31,35,4.9,2640.0--,
1336,Pi 12h122,12 28 42.00,+33 48 0.00,12 33 38.9,+33 14 51,+34˚2332.0,5.4,K0,26,6;25,29,16,3.2,2892.0--,
1337,Lal 23491,12 28 54.00,+33 56 0.00,12 33 47.4,+33 23 05,+34˚2333.0,6.4,K0,48,7;27,29,16,2.2,2894.0--,
1338,24 Coma A,12 30 6.00,+18 56 0.00,12 35 07.7,+18 22 37,,5.2,K0,-2,5;20,30,4,6.4,2902.0A,
1339,24 Coma B,12 30 6.00,+18 56 0.00,12 35 07.7,+18 22 37,,6.7,A3,4,6;24,31,4,6.4,2902.0A,
,Mean,,,,,+19˚2584.0,,,1,4,,,,0.00,
1340,Lal 24504,13 6. 24.00,+10 9 0.00,,,+10˚2519.0,8.5,G0,46,6;24,29,,,0.00,
1341,Sigma 1819,14 10 18.00,+3 36 0.00,14 15 19.3,+03 07 53,+3˚2874.0,7,F8,12,7;27,29,23,5.8,3239.0M,
1342,Alpha Cor B,15 30 30.00,+27 3 0.00,15 34 41.2,+26 42 53,+27˚2512.0,2.3,A0,47,7;28,32,38,8.2,3519.0--,
1343,Mu Serp,15 44 24.00,-3 7 0.00,15 49 37.1,-03 25 48,-2˚4052.0,3.6,A0,-9,5;20,33,5,6.8,3580.0--,
1344,Nu Ophi,16 22 24.00,-8 9 0.00,16 27 48.1,-08 22 18,-8˚4243.0,4.7,A2,25,8;25,30,25,9.3,3739.0--,
1345,Chi Ophi,16 52 54.00,+9 32 0.00,16 57 40.1,+09 22 30,+9˚3298.0,3.4,K0,5,6;22,29,29,7.6,3855.0--,
1346,Br 2163,16 58 30.00,+14 14 0.00,17 03 07.9,+14 05 30,+14˚3179.0,5.1,Ma,2,5;20,31,5,8.4,3872.0--,
1347,Zeta Drac,17 8. 30.00,+65 50 0.00,17 08 47.1,+65 42 52,+65˚1170.0,3.2,B5,1,5;19,30,24,6.4,3905.0--,
1348,87 Herc,17 44 48.00,+25 39 0.00,17 48 49.1,+25 37 22,+25˚3353.0,5.3,K0,13,5;19,28,15,8.4,4073.0--,
1349,102 Herc,18 4. 30.00,+20 48 0.00,18 08 45.5,+20 48 52,+20˚3674.0,4.3,B3,-20000,6;23,29,-12,8.2,4160.0--,
1350,R Lyra,18 52 18.00,+43 49 0.00,18 55 20.0,+43 56 46,+43˚3117.0,4.3,Mb,2,6;24,32,,8.9,4396.0--,
1351,Lambda Lyra,18 56 12.00,+32 0 0.00,19 00 00.7,+32 08 44,+31˚3424.0,5.1,K5,-6,6;21,30,-3,9.8,4413.0--,
1352,Lal 36081,19 8. 6.00,+16 41 0.00,,,+16˚3775.0,6.4,B9,5,4;17,30,,,0.00,
1353,WB 19h1199,19 38 36.00,+31 31 0.00,19 42 28.8,+31 44 24,+31˚3727.0,8.3,,26,6;24,30,28,9.8,4632.0--,
1354,Pi 19h371,19 54 0.00,+58 35 0.00,19 55 55.3,+58 50 45,+58˚2013.0,5.1,K2,1,5;18,30,3,8.4,4730.0--,
1355,Epsilon Dlph,20 28 24.00,+10 58 0.00,20 33 12.7,+11 18 11,+10˚4321.0,4,B5,20,4;18,30,19,6.0,4888.0--,
1356,X Cygn,20 39 30.00,+35 14 0.00,20 43 24.1,+35 35 15,+35˚4234.0,Var,G0p,-13,5;19,30,-8,7.5,4944.0--,
1357,Lal 40636,20 55 24.00,-8 44 0.00,21 00 49.0,-08 20 34,-8˚5544.0,8.2,G0,20,6;21,28,23,9.8,5038.0--,
1358,Sigma 2744,20 58 0.00,+1 9 0.00,21 03 03.0,+01 31 56,+0˚4648.0,6.5,F5,32,8;29,28,35,12.5,5051.0M,
1359,Lal 42846,21 53 42.00,-4 51 0.00,21 58 54.9,-04 22 23,-5˚5674.0,6.4,K0,30,6;23,32,27,4.9,5307.0--,
1360,Sigma 2862 A,22 2. 0.00,+0 5 0.00,,,+0˚4307.0,7.6,G0,15,7;27,32,,,0.00,
1361,Sigma 2950 A,22 47 30.00,+61 10 0.00,22 51 22.4,+61 41 49,+60˚2450.0,5.8,G0,-4,6;24,33,6,8.4,5541.0M,
1362,Lal 45585,23 12 30.00,-2 4 0.00,23 17 37.6,-01 31 17,-2˚5920.0,8.2,G5,2,4;18,34,8,6.7,5634.0M,
1363,Omega Sigma 503,23 37 0.00,+19 45 0.00,23 42 02.1,+20 17 47,+19˚5138.0,7.6,F8,21,5;18,30,25,8.4,5737.0--,
1364,Theta Andr,00 11 54.00,+38 8 0.00,00 17 05.5,+38 40 54,+37˚34.0,4.4,A2,14,6;24,31,19,9.8,47.0--,
1365,Rho Andr,00 15 54.00,+37 25 0.00,00 21 07.2,+37 58 06,+37˚45.0,5.2,F5,12,4;19,30,15,7.2,55.0--,
1366,Delta Cass,01 19 18.00,+59 43 0.00,01 25 49.0,+60 14 07,+59˚248.0,2.8,A5,22,6;25,30,34,5.5,287.0--,
1367,94 Pisc,01 21 18.00,+18 43 0.00,01 26 41.6,+19 14 25,+18˚189.0,5.6,K0,11,4;19,30,14,7.2,296.0--,
1368,Sigma 138,01 30 48.00,+7 8 0.00,01 36 02.8,+07 38 44,+6˚244.0,7.3,F8,-13,6;26,30,-9,9.8,330.0--,
1369,Epsilon Tria,01 57 6.00,+32 48 0.00,02 02 57.9,+33 17 03,+32˚369.0,5.4,A2,5,4;20,31,8,7.2,421.0--,
1370,Lal 5514,02 53 42.00,-3 11 0.00,02 58 42.0,-02 46 58,-3˚470.0,5.2,A2,9,5;23,31,14,7.2,621.0--,
1372,32 Taur,03 51 0.00,+22 11 0.00,03 56 52.0,+22 28 41,+22˚605.0,5.8,F0,26,3;16,29,29,6.0,867.0--,
1373,Lal 7867,04 8. 54.00,+29 39 0.00,,,+29˚678.0,7.3,K0,9,5;21,30,,,0.00,
1374,9 Orio,04 50 42.00,+13 21 0.00,04 56 22.2,+13 30 51,+13˚740.0,4.3,K0,12,4;18,30,17,6.5,1102.0--,
1375,15 Orio,05 4. 0.00,+15 28 0.00,05 09 42.0,+15 35 49,+15˚752.0,4.9,F0,8,6;26,30,,8.2,1165.0--,
1376,Xi Auri,05 46 30.00,+55 41 0.00,,,+55˚1027.0,4.9,A2,9,5;22,30,,,0.00,
1377,Grb 1149,06 18 0.00,+56 20 0.00,06 26 25.8,+56 17 06,+56˚1125.0,5.5,A3,20,4;17,30,22,7.2,1479.0--,
1378,30 Gemi,06 38 18.00,+13 20 0.00,06 43 59.2,+13 13 40,+13˚1390.0,4.6,K0,8,4;17,29,5,6.5,1569.0--,
1379,Brad 1104,07 36 30.00,+50 40 0.00,07 44 04.1,+50 26 01,+50˚1460.0,5.3,A0,12,4;18,30,16,7.2,1816.0--,
1380,Zeta C Min,07 46 30.00,+2 1 0.00,07 51 41.9,+01 46 00,+2˚1808.0,5.1,B8,6,6;25,29,10,9.8,1855.0--,
1381,Sigma 1175,07 57 12.00,+4 26 0.00,08 02 25.9,+04 09 07,+4˚1882.0,7.8,G5,26,7;31,33,28,11.1,1910.0--,
1382,2 Hyda,08 21 30.00,-3 40 0.00,08 26 27.1,-03 59 14,-3˚2345.0,5.4,A5,25,5;22,30,25,7.5,2008.0--,
1383,Lal 17528,08 48 30.00,+22 36 0.00,08 54 18.7,+22 12 40,+22˚2014.0,7.6,G5,15,5;22,31,19,8.4,2122.0--,
1384,Lal 17890,09 0. 12.00,+38 51 0.00,,,+39˚2200.0,4.7,G5,16,4;18,31,,,0.00,
1385,Rho Leon,10 27 30.00,+9 49 0.00,10 32 48.6,+09 18 23,+10˚2166.0,3.8,B0p,-8,6;24,32,8,8.4,2467.0--,
1386,72 Leon,11 9. 54.00,+23 38 0.00,11 15 12.2,+23 05 44,+23˚2322.0,4.9,Ma,5,5;21,31,9,8.4,2616.0--,
1387,Epsilon Virg,12 57 12.00,+11 30 0.00,13 02 10.5,+10 57 32,+11˚2529.0,3,K0,31,7;25,29,33,5.5,2987.0--,
1388,Beta Coma,13 7. 12.00,+28 23 0.00,13 11 52.3,+27 52 42,+28˚2193.0,4.3,G0,111,6;22,32,104,2.4,3015.0--,
1389,11 Libr,14 45 48.00,-1 53 0.00,14 51 01.0,-02 17 56,-1˚2991.0,5,K0,11,5;21,31,15,7.3,3353.0--,
1390,Rad 3381,15 21 0.00,+63 42 0.00,15 22 38.3,+63 20 29,+63˚1192.0,5.8,K2,4,4;17,30,7,7.2,3485.0--,
1391,Epsilon Cor B,15 53 24.00,+27 10 0.00,15 57 35.2,+26 52 40,+27˚2558.0,4.2,K0,15,6;24,32,22,8.2,3612.0--,
1392,Psi Scor,16 6. 30.00,-9 48 0.00,16 11 59.9,-10 03 51,-9˚4324.0,4.9,A2,13,5;19,30,18,7.2,3673.0--,
1394,45 Herc,16 42 48.00,+5 26 0.00,16 47 46.4,+05 14 48,+5˚3272.0,5.3,A0p,10,5;21,28,11,7.2,3819.0--,
1395,70 Herc,17 16 48.00,+24 36 0.00,17 20 54.1,+24 29 58,+24˚3167.0,5.1,A0,4,6;23,28,8,9.8,3945.0--,
1396,Lal 31804,17 23 42.00,+0 25 0.00,17 28 49.7,+00 19 49,+0˚3697.0,5.2,A5,7,5;19,27,10,7.3,3967.0--,
1397,Omicron Serp,17 35 48.00,-12 49 0.00,17 41 24.8,-12 52 30,-12˚4808.0,4.4,A2,1,7;28,33,5,10.3,4023.0--,
1398,Iota Herc,17 36 36.00,+46 4 0.00,17 39 27.9,+46 00 22,+46˚2349.0,3.8,B3,-5,5;22,28,2,7.5,4028.0A,
1399,Gamma Ophi,17 42 54.00,+2 45 0.00,17 47 53.5,+02 42 26,+2˚3403.0,3.7,A0,36,6;25,31,34,7.2,4065.0--,
1400,67 Ophi,17 55 36.00,+2 56 0.00,18 00 38.7,+02 55 53,+2˚3458.0,3.9,B5p,-13,4;18,29,-5,6.6,4111.0A,
1401,74 Ophi,18 15 54.00,+3 20 0.00,18 20 52.0,+03 22 38,+3˚3680.0,4.9,G5,19,5;19,30,15,6.5,4213.0--,
1402,Rad 3896,18 18 24.00,+17 47 0.00,18 22 49.0,+17 49 36,+17˚3555.0,5.5,K0,20,4;17,29,23,7.2,4228.0--,
1403,Nu Drac,18 55 36.00,+71 10 0.00,18 54 23.8,+71 17 50,+71˚915.0,4.9,K0,16,6;22,30,12,8.9,4408.0--,
1404,Sigma 2540,19 28 54.00,+20 12 0.00,19 33 17.1,+20 24 50,+20˚4179.0,7.2,A3,-7,7;25,25,2,7.0,4576.0A,
1405,SU Cygn,19 40 48.00,+29 1 0.00,19 44 48.7,+29 15 53,+28˚3460.0,( 6. 2-7. 0),F2p,-11,5;20,31,-12,7.0,4642.0--,
1407,33 Cygn,20 11 6.00,+56 16 0.00,20 13 23.8,+56 34 04,+56˚2376.0,4.3,A3,8,5;19,31,18,7.7,4815.0--,
1408,Brad 2613,20 13 24.00,+40 3 0.00,20 16 55.3,+40 21 53,+39˚4114.0,5.5,K5,4,4;16,27,5,7.2,4831.0--,
1409,Theta Ceph,20 27 54.00,+62 39 0.00,20 29 34.9,+62 59 38,+62˚1821.0,4.3,A5,28,5;21,28,35,7.3,4886.0--,
1410,Alpha Dlph,20 35 0.00,+15 34 0.00,20 39 38.3,+15 54 43,+15˚4222.0,3.9,B8,-6,5;22,32,4,7.5,4923.0A,
1411,Pi 190,21 30 6.00,-4 26 0.00,21 35 17.6,-03 58 59,-4˚5489.0,5.8,K0,-1,5;22,34,2,8.4,5199.0--,
1412,Omicron Andr,22 57 18.00,+41 47 0.00,23 01 55.2,+42 19 33,+41˚4664.0,3.6,B5,6,5;21,31,11,7.3,5578.0A,
1413,5 Andr,23 3. 12.00,+48 45 0.00,23 07 45.3,+49 17 44,+48˚3944.0,5.8,F0,22,6;24,31,19,8.6,5598.0--,
1416,Rho Pisc,01 20 54.00,+18 39 0.00,01 26 15.3,+19 10 20,+18˚187.0,5.3,F0,33,4;18,31,36,7.2,294.0--,
1417,Chi Ceti,01 44 42.00,-11 11 0.00,01 49 35.1,-10 41 11,-11˚352.0,4.8,F0,39,5;21,31,44,7.5,382.0A,
1418,Gamma Arie N,01 48 0.00,+18 48 0.00,01 53 31.8,+19 17 37,,4.8,A0p,24,5;24,31,25,5.5,391.0M,
1419,Gamma Arie S,01 48 0.00,+18 48 0.00,01 53 31.8,+19 17 37,,4.8,A0p,21,5;24,31,25,5.5,391.0M,
,Mean,,,,,+18˚243.0,,,22,4,,,,0.00,
1420,Epsilon Arie,02 53 30.00,+20 56 0.00,02 59 12.6,+21 20 25,+20˚484.0,4.6,A2,-7,5;25,35,4,7.2,620.0--,
