No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl
1951,Beta Oph,17,38.5,4,37,17h42m56.69s,+04d34m09.4265s,4,3489.0,2.9,K0,0.16,-0.043,-0.033,0.028,6;27,12.5S,52C
1952,Gamma Dra,17,54.3,51,30,17h56m19.4506s,+51d29m17.7085s,51,2282.0,2.4,K5,0.026,-0.011,-0.005,0.02,6;24,12.4S,46C
1953,99 Her,18,3.2,30,33,18h06m48.5093s,+30d33m42.9147s,30,3128.0,5.2,F8,0.119,-0.098,-0.108,0.056,4;17,12.3,31D
1954,Chi Dra*,18,22.9,72,41,18h19m59.8708s,+72d44m03.4583s,72,839.0,3.7,F8,0.635,0.522,0.526,0.122,6;24,12,32D
1955,Alpha Sct,18,29.8,-8,19,18h34m26.6451s,-08d14m23.4003s,-8,4638.0,4.1,K0,0.315,-0.018,-0.024,0.009,6;21,12.6,43C
1956,Alpha Lyr,18,33.6,38,41,18h36m21.4489s,+38d46m02.1921s,38,3238.0,0.1,A0,0.345,0.2,0.207,0.126,7;26,12.5S,36W
1957,GC 25770,18,43.8,10,39,18h47m42.6172s,+10d45m34.1448s,10,3665.0,8,K4,0.463,0.139,0.124,0.055,5;23,12.6,59C
1958,17 Lyr,19,3.6,32,21,19h06m45.8655s,+32d30m19.9779s,32,3326.0,5,F0,0.125,0.124,0.128,0.019,6;26,12.5,57C
1959,17 Lyr C*,19,3.7,32,21,19h06m45.8655s,+32d30m19.9779s,,,11.2,M5,1.66,1.25,1.233,0.109,6;26,12.5,55C
1960,Merrill*,19,7.0,16,40,19h11m28.9891s,+16d49m56.4845s,,,10,WN7,,,-0.007,-0.005,5;18,11.1,26W
1961,31 Aql,19,20.2,11,44,19h24m41.1799s,+11d55m44.8549s,11,3833.0,5.2,G5,0.96,0.719,0.727,0.046,5;21,12.6,31D
1962,RR Lyr,19,22.2,42,36,19h25m12.1849s,+42d47m55.1539s,42,3338.0,Var,F5,0.224,-0.122,-0.108,0.007,6;24,12.4,46C
1963,Alpha Aql,19,45.9,8,36,19h49m49.0875s,+08d51m05.4771s,8,4236.0,0.9,A5,0.658,0.535,0.536,0.189,4;17,12.4S,43W
1964,Epsilon Dra,19,48.5,70,1,19h47m37.5353s,+70d16m08.6914s,69,1070.0,4,K0,0.086,0.078,0.074,0.023,7;27,12.4,39C
1965,Gamma Sge,19,54.3,19,13,19h58m26.3581s,+19d29m13.5454s,19,4229.0,3.7,K5,0.066,0.061,0.066,0.007,6;22,12.1,36C
1966,GC 27912,20,3.6,52,52,20h05m35.4327s,+53d09m14.6882s,52,2623.0,5.7,F5,0.335,0.215,0.209,0.031,6;21,12.4,38C
1967,Kappa Cep*,20,12.3,77,25,20h08m36.5789s,+77d42m59.5182s,77,764.0,4.4,B9,0.028,0.009,0.004,-0.004,6;23,12.4S,44C
1968,Gamma Cyg,20,18.6,39,56,20h21m35.1694s,+40d15m08.327s,39,4159.0,2.3,F8p,0.001,0.001,-0.007,-0.001,7;22,12.4S,34W
1969,Alpha Cyg,20,38.0,44,55,20h41m24.5615s,+45d16m26.5708s,44,3541.0,1.3,A1p,0.003,-0.002,0.007,-0.017,5;19,12.4S,34W
1970,Epsilon Cyg,20,42.2,33,36,20h45m59.9123s,+33d57m55.1441s,33,4018.0,2.6,G8,0.481,0.355,0.362,0.049,5;21,12.8S,33W
1971,Alpha Cep,21,16.2,62,10,21h18m20.8281s,+62d35m19.6371s,61,2111.0,2.6,A5,0.155,0.147,0.148,0.04,6;22,12.5S,36W
1972,GC 31046,22,7.3,50,20,22h10m51.6461s,+50d49m33.7645s,50,3602.0,5.4,A2,0.142,0.136,0.143,0.002,6;23,12.1,38C
1973,33 Peg,22,18.8,20,21,22h22m46.2323s,+20d51m18.1999s,20,5139.0,6.1,F5,0.333,0.333,0.342,0.033,5;20,12.2,31D
1974,Zeta Peg*,22,36.5,10,19,22h40m58.6974s,+10d50m19.1375s,10,4797.0,3.6,B8,0.077,0.077,0.084,0.02,6;24,12.4S,44C
1975,Eta Peg,22,38.3,29,42,22h42m41.1476s,+30d13m24.7223s,29,4741.0,3.1,G0,0.027,0.01,0.011,0.014,5;25,12.3S,60C
1976,Beta Peg,22,58.9,27,32,23h02m49.2714s,+28d04m17.2086s,27,4480.0,2.6,Ma,0.234,0.188,0.189,0.012,6;22,13.0S,31W
1977,7 And,23,8.0,48,52,23h12m34.1386s,+49d24m37.607s,48,3964.0,4.6,F0,0.132,0.089,0.087,0.046,4;17,12.5,31D
1978,Nu Peg,23,20.4,22,51,23h24m58.0872s,+23d23m57.7865s,22,4833.0,4.6,G0,0.192,0.188,0.193,0.036,7;27,12.7,38C
1979,GC 153,0,4.1,24,44,00h09m09.1766s,+25d17m23.7537s,24,4.0,8.2,G0,0.236,0.189,0.157,0.029,5;19,12.8,31L
1980,GC 707,0,30.7,12,40,00h35m11.7409s,+13d13m04.3339s,12,59.0,6.4,F5,0.236,-0.146,-0.136,0.019,7;21,12.4,28S
1981,32 And,0,35.7,38,55,00h40m25.2359s,+39d27m57.5019s,38,90.0,5.4,G5,0.015,-0.014,-0.018,0.008,8;30,12.4,32G
1982,GC 1186,0,54.1,31,57,00h59m28.0246s,+32d29m23.469s,31,153.0,7,F5,0.353,0.349,0.322,0.012,5;21,12.6,37H
1983,Polaris,1,22.6,88,46,02h29m57.3743s,+89d15m29.9335s,88,8.0,2.6,F8,0.046,0.046,0.053,-0.016,5;28,8.6,71C
1984,LFT 144-5,1,34.0,-18,28,01h38m49.4298s,-17d57m30.1999s,,,12,M6,3.36,3.31,3.271,0.323,22;51,13.4,48W
1985,Tau Cet,1,39.0,-16,28,01h43m50.7436s,-15d57m48.5349s,-16,295.0,3.6,K0,1.921,-1.718,-1.735,0.268,6;25,12,51L
1986,Xi Psc,1,48.0,2,42,01h53m10.5791s,+03d11m35.6954s,2,290.0,4.8,K0,0.034,0.021,-0.001,0.008,6;25,11.8,34G
1987,"Ci20, 148",2,3.1,24,46,02h08m39.9156s,+25d14m29.943s,,,,DA,0.43,0.42,0.412,0.018,7;22,12.8,35S
1988,Epsilon Cet,2,34.7,-12,18,02h38m49.3416s,-11d52m04.4235s,-12,501.0,5,F5,0.275,0.147,0.136,0.069,6;20,12.4,32H
1989,GC 4849,3,56.5,35,2,04h02m28.7927s,+35d18m48.033s,34,796.0,8.6,K0,2.205,1.745,1.74,0.043,5;19,12.4,52L
1990,9 Aur,4,58.8,51,28,05h05m50.2428s,+51d36m22.5865s,51,1024.0,5,F0,0.177,-0.024,-0.026,0.057,5;22,12.3,34G
1991,LTT 11818,6,9.6,17,45,06h14m50.0704s,+17d43m15.7884s,,,,DA,0.36,-0.056,-0.057,0.023,5;17,12.6,35L
1992,49 Aur,6,28.9,28,6,06h34m17.9738s,+28d01m28.3579s,28,1168.0,5,A0,0.02,0.007,0.001,-0.005,6;25,12.2,33G
1993,45 Gem,7,2.6,16,5,07h07m44.1962s,+15d55m40.1409s,16,1397.0,5.6,K0,0.104,-0.004,-0.003,0.001,4;17,12.2,32G
1994,"Ci20, 451",7,54.3,29,18,08h00m12.4393s,+29d01m39.7012s,,,,G2,0.53,0,-0.026,0.007,8;27,12.4,21K
1995,Rho UMa,8,53.5,68,1,09h02m01.7008s,+67d37m37.9334s,68,551.0,5,Ma,0.24,-0.02,-0.019,0.015,5;24,12.3,35G
1996,18 UMa,9,9.0,54,26,09h16m11.1346s,+54d01m06.8077s,54,1285.0,4.9,A5,0.078,0.056,0.076,0.036,7;29,12.2,33G
1997,32 Hyd,9,26.9,0,45,09h31m08.1459s,+00d18m37.2984s,0,2211.0,4.5,A3,0.19,-0.013,-0.023,0.02,7;29,12,32G
1998,21 LMi,10,1.5,35,44,10h06m53.6023s,+35d14m46.965s,35,2110.0,4.5,A5,0.052,0.052,0.051,0.042,7;27,12,35G
1999,GC 14225,10,16.2,41,44,10h21m57.7968s,+41d13m47.0012s,41,2076.0,5.9,F5,0.189,-0.122,-0.132,0.018,6;26,12.3,39H
2000,GC 15485,11,10.3,53,19,11h15m43.6614s,+52d46m17.6615s,53,1480.0,6.3,F2,0.169,0.161,0.165,0.051,6;24,12.1,30G
2001,14 CVn,13,1.1,36,20,13h05m40.8281s,+35d47m51.4957s,36,2337.0,5.1,B9,0.31,-0.029,-0.012,0.004,7;26,12.5,37G
2002,HZ 43,13,11.6,29,38,13h15m43.7206s,+29d06m17.2576s,,,,DA,0.17,-0.15,-0.146,0.021,11;28,11.8,20K
2003,GC 19428,14,19.2,6,16,14h23m59.2014s,+05d48m45.4795s,6,2875.0,5.1,A3,0.082,-0.082,-0.046,0.014,7;24,12.4,33G
2004,LFT 1146,14,45.9,7,58,14h49m55.2341s,+07d33m07.1616s,,,,DA,0.94,-0.84,-0.813,0.028,11;27,15,21V
2005,"Ci20, 933",15,23.7,17,4,15h27m35.7028s,+16d43m07.3274s,,,,K5,0.97,-0.96,-0.887,0.024,9;21,14.7,31K
2006,GC 21044,15,35.1,47,8,15h38m11.3473s,+46d48m25.9501s,47,2253.0,5.8,F0,0.15,0.085,0.116,0.005,8;28,12.7,34G
2007,GC 21124,15,37.7,-10,36,15h42m28.1738s,-10d55m11.6676s,-10,4149.0,7.3,F2,1.189,-1.145,-1.12,0.014,9;23,12.7,38S
2008,LTT 14769,15,57.8,37,6,16h00m40.5575s,+36d49m08.929s,,,14.1,DA,0.57,0.13,0.122,0.019,6;21,14,38V
2009,LTT 6497,16,12.2,-15,22,16h17m40.5926s,-15d36m47.858s,,,,DA,0.25,-0.17,-0.176,0.006,9;30,12.5,38S
2010,GC 21907,16,15.5,71,11,16h14m18.3607s,+70d56m10.6185s,71,775.0,7.8,G5,0.299,-0.021,0.004,0.04,6;24,12.4,35G
2011,"Ci20, 992",16,24.9,36,58,16h27m35.5536s,+36d44m39.0523s,,,,DF,0.89,-0.5,-0.48,0.054,6;23,12.8,49V
2012,LTT 6847,17,5.7,-14,41,17h10m41.6551s,-14d48m32.2175s,,,,DC,0.36,0.27,0.284,0.002,12;42,14.3,37S
2013,GC 23181,17,6.5,24,39,17h10m07.8006s,+24d31m29.6386s,24,3137.0,8.3,K1,0.313,-0.224,-0.203,0.028,6;22,12.3,59L
2014,GC 23592,17,20.8,2,14,17h25m02.3492s,+02d08m33.6511s,2,3312.0,7.9,K6,1.332,-0.587,-0.591,0.13,4;21,12,66L
2015,L846-54,17,29.2,-13,54,17h34m40.294s,-13d58m05.7027s,,,,a,0.165,-0.067,-0.053,-0.028,8;30,13.3,37S
2016,GC 24145,17,42.6,25,48,17h46m02.9955s,+25d45m40.4057s,25,3344.0,7,A2,0.65,-0.063,-0.043,0.005,5;20,12.3,36S
2017,LTT 15456,18,22.3,4,1,18h26m57.9873s,+04d04m33.762s,,,,DA,0.37,-0.23,-0.253,0.015,7;29,13.3,48V
2018,GC 25394,18,31.6,51,39,18h33m19.8993s,+51d43m40.4488s,51,2402.0,8.3,M1,0.37,0.191,0.184,0.062,9;19,12.2,20M
2019,AC70 8247,19,1.1,70,30,19h00m01.5955s,+70d38m43.2299s,,,,DA,0.52,0.11,0.095,0.096,7;27,12.7,39L
2020,LFT 1463,19,10.3,19,8,19h14m23.09s,+19d18m21.0756s,,,,k,0.74,-0.58,-0.614,0.04,5;22,12.2,58S
2021,LTT 7658,19,15.2,-7,51,19h20m24.5557s,-07d39m53.268s,,,,DC,0.2,-0.06,-0.07,0.092,7;34,12,44S
2022,9 Vul,19,30.2,19,33,19h34m23.4563s,+19d46m04.8515s,19,4063.0,4.9,B8,0.003,0.003,0.004,0.012,7;24,12.2,33G
2023,LTT 15760,19,39.6,8,39,19h43m48.7574s,+08d53m18.3294s,,,,a,0.22,-0.11,-0.092,0.012,9;28,14.2,29K
2024,"Ci20, 1165",19,42.5,31,47,19h45m52.5973s,+32d01m38.2933s,31,3767.0,10,M1,0.63,0.48,0.454,0.069,5;23,11.4,52S
2025,"Ci20, 1165",19,42.5,31,47,19h45m52.5973s,+32d01m38.2933s,31,3767.0,11,M2,0.63,0.48,0.486,0.084,7;26,11.4,36S
,Mean,,,,,0,0,31,3767.0,,,,,,0.074,4,,
2026,LTT 7879,19,51.4,-1,17,19h56m09.7488s,-01d01m06.6927s,,,13.9,DA,0.84,-0.46,-0.44,0.094,7;25,13.8,45S
2027,GC 28350,20,17.7,-21,40,20h22m50.5345s,-21d20m50.7602s,-21,5703.0,8.2,F8,1.206,0.55,0.536,0.024,6;20,11,37S
2028,69 Aql,20,24.4,-3,13,20h29m13.1006s,-02d53m03.3279s,-3,4918.0,5.1,K0,0.068,0.066,0.073,0.021,6;24,12.2,38G
2029,"Ci20, 1215",20,30.1,24,44,20h34m18.5192s,+25d04m35.231s,,,,DA,0.68,-0.4,-0.402,0.069,4;24,10.8,58L
2030,"Ci20, 1228",20,41.5,44,8,20h44m28.4422s,+44d29m46.7964s,,,9.5,M3,0.5,0.42,0.434,0.076,4;22,11.7,69S
2031,"Ci20, 1248",20,52.8,21,59,20h56m27.9144s,+22d22m01.3597s,,,,M3,0.87,0.86,0.769,0.072,8;32,13.5,64S
2032,GC 29631,21,7.4,17,21,21h11m38.7336s,+17d45m33.9438s,17,4519.0,7.3,F9,0.903,-0.116,-0.144,0.026,6;24,11,45S
2033,GC 29980,21,20.1,25,45,21h24m26.0395s,+26d10m48.01s,25,4531.0,5.7,F0,0.043,0.043,0.053,0.01,6;22,12.4,33G
2034,GC 30022,21,21.4,0,41,21h26m06.0636s,+01d06m55.3925s,0,4726.0,6.4,F5,0.183,0.099,0.107,0.024,4;15,12.4,35L
2035,LTT 16270,21,23.1,54,46,21h26m07.717s,+55d12m00.9857s,,,,DA,0.3,0.2,0.275,0.056,10;38,14.4,39S
2036,AC7 8031,21,26.8,73,13,21h26m28.0613s,+73d39m10.1721s,,,,DA,0.32,0.04,0.054,0.043,7;18,12.5,37S
2037,LTT 16295,21,27.0,0,13,21h32m06.7646s,+00d39m27.9928s,0,4234.0,9.7,K2,0.41,0.41,0.376,0.024,9;21,11,22L
2038,LTT 16324,21,38.7,82,36,21h32m40.9014s,+83d02m58.7808s,,,13.1,DA,0.64,0.31,0.278,0.042,10;23,12.7,24S
2039,"Ci20, 1320",21,49.8,41,19,21h53m04.1959s,+41d47m15.5118s,,,10.3,K8,0.53,0.37,0.379,0.029,4;16,11.2,59L
2040,LTT 16560,22,20.0,22,4,22h24m44.7167s,+22d34m25.4511s,21,4747.0,8.6,M0,0.21,-0.2,-0.2,0.052,6;35,10.9,62K
2041,"Ci20, 1407",23,8.9,38,53,23h12m44.0052s,+39d25m37.7609s,38,4955.0,11,F8,0.57,0.44,0.179,-0.001,6;23,12.3,38L
2042,7 Psc,23,15.2,4,50,23h20m05.1872s,+05d22m50.2853s,4,4997.0,5.2,K0,0.96,0.076,0.067,-0.007,7;26,12,34G
2043,77 Peg,23,38.3,9,47,23h43m05.3769s,+10d20m17.3632s,9,5268.0,5.4,Ma,0.015,0.001,-0.023,0.004,7;25,12.3,31G
2044,LTT 16991,23,38.9,31,58,23h43m00.2245s,+32d31m17.3314s,,,,a,0.24,-0.23,-0.22,0.06,7;28,12.8,38S
2045,LTT 16990,23,38.9,23,0,23h43m02.5071s,+23d33m17.3455s,,,,m,0.24,-0.23,-0.217,0.054,8;33,13,38S
,Mean,,,,,0,0,,,,,,,,0.057,5,,
2046,HD 5223 Lal 2975 7 Tau K Tau Lal 18397 0 LMi,0,48.9,23,32,00h53m20.3161s,+24d04m35.7838s,23,123.0,8.33,R2,,,0.1344,0.009,7;20,12,
2047,Lal 2975,1,32.7,28,4,01h37m36.3378s,+28d34m35.5032s,28,271.0,8.66,K0 IV-V,,,0.3644,0.025,7;25,12.3,
2048,Gamma Tau,4,14.1,15,23,04h19m40.7673s,+15d37m32.129s,15,612.0,3.61,K0 III,,,0.1089,0.021,10;39,12.4,
2049,Kappa Tau,4,19.4,21,4,04h24m54.5077s,+21d17m51.6366s,21,642.0,4.23,A7 V,,,0.0755,0.017,12;42,12.2,
2050,Lal 18397,9,16.2,40,40,09h22m20.9481s,+40d14m29.029s,40,2197.0,7.64,dK3,,,-0.3448,0.054,8;26,12.6,
2051,Beta Lmi,10,22.1,37,13,10h27m47.9288s,+36d42m25.5267s,37,2080.0,4.2,G8 III-IV,,,-0.1071,0.018,9;39,11.7,
2052,37 UMa,10,28.7,57,36,10h34m26.1508s,+57d05m03.9415s,57,1277.0,5.15,F1 V,,,0.0743,0.043,11;36,12.7,
2053,L825-14,10,28.9,-11,14,10h32m57.043s,-11d44m53.5878s,,,12.97,DAn,,,-0.3542,0.03,12;35,12.8,
2054,Lal 21185,10,57.9,36,38,11h02m32.9472s,+36d05m44.2286s,36,2147.0,7.5,M2 V,,,0.5403,0.406,9;31,12.4,
2055,61 UMa,11,35.7,34,46,11h40m16.3309s,+34d12m44.9543s,35,2270.0,5.33,G8 V,,,-0.0169,0.117,9;30,12.4,
2056,Grb 1830,11,47.2,38,26,11h52m12.1482s,+37d52m37.4824s,38,2285.0,6.49,G8 Vp,,,3.9946,0.121,17;62,12.6,
2057,Grb 2131,14,31.2,57,30,14h33m58.9679s,+57d03m43.0111s,57,1519.0,6.28R,F5,,,0.2279,0.024,11;37,12.3,
2058,Beta CrB,15,23.7,29,27,15h27m08.9416s,+29d06m05.8032s,29,2670.0,3.66,F0p,,,-0.175,0.052,24;42,11.2,
2059,Eta Her,16,39.5,39,7,16h42m25.498s,+38d55m40.2639s,39,3029.0,3.5,G7 III-IV,,,0.0427,0.012,8;33,12.2,
2060,WB 1259,16,41.5,33,40,16h44m43.6585s,+33d28m57.9974s,33,2777.0,8.11,K7 V,,,-0.0348,0.098,7;31,12.3,
2061,Ross 868,17,16.0,26,45,17h20m01.3s,+26d38m54.8052s,,,13.6,M5e,,,-0.2142,0.099,11;40,13.6,
2062,CC1069,17,53.2,4,16,17h57m57.4316s,+04d15m20.4771s,4,3561.0,9.53,M5 V,,,-0.7118,0.553,6;38,11.3,
2063,99 Her,18,3.2,30,33,18h06m48.5093s,+30d33m42.9147s,30,3128.0,5.04,F7 V,,,-0.0798,0.048,16;108,11.1,
2064,Chi Dra,18,22.9,72,41,18h19m59.8708s,+72d44m03.4583s,72,839.0,3.58,F7 V,,,0.5242,0.122,87;46,11.9,
2065,+76∞785,20,13.9,76,55,20h09m58.5526s,+77d13m08.2096s,76,785.0,8.89,dK7,,,0.0666,0.055,6;22,11.8,
2066,Beta Del,20,32.9,14,15,20h36m40.5193s,+14d35m50.2138s,14,4369.0,3.63,F5 IV,,,0.1043,0.017,7;49,11.8,
2067,VW Cep,20,38.6,75,14,20h36m30.1533s,+75d35m10.1648s,75,752.0,7.1,K0 V,,,0.34,0.053,10;30,12.1,
2068,Lal 40844,21,0.4,6,41,21h04m56.1047s,+07d04m52.6515s,6,4741.0,8.34,K7 V,,,0.0688,0.071,9;40,11.8,
2069,G93-48,21,47.4,1,55,21h52m04.6814s,+02d23m08.4911s,,,12.77,DA,,,0.0165,0.015,24;52,12.8,
2070,D'AG 6348,23,31.0,17,53,23h36m02.3339s,+18d26m11.2164s,17,4946.0,7.63,G5 V,,,0.6907,-0.008,11;32,12.1,
